nan	UniRef90_J2KW20,UniRef90_Q9EZI1,UniRef90_I4IIA4,UniRef90_F8CRP7,UniRef90_P72366,UniRef90_Q6A661,UniRef90_Q6A6L7,UniRef90_A1WI79,UniRef90_R5DY60,UniRef90_A6GPU1,UniRef90_A6GQV8,UniRef90_I0HTC0,UniRef90_G5ZX51,UniRef90_D8ISE1,UniRef90_F3FVU2,UniRef90_UPI000237825B,UniRef90_UPI000370B645,UniRef90_N6YVA4,UniRef90_I4HYV6,UniRef90_B0JU18,UniRef90_I4G902,UniRef90_B0JLY5,UniRef90_I4F7Z0,UniRef90_I4FF66,UniRef90_I4GAU3,UniRef90_B0JHS6,UniRef90_B0JU17,UniRef90_I4FUA8,UniRef90_I4I6V5,UniRef90_B0JSH6,UniRef90_B0JTE6,UniRef90_I4FYW7,UniRef90_B0JQ10,UniRef90_B0JW41,UniRef90_I4FP06,UniRef90_I4G7P0,UniRef90_I4G901,UniRef90_I4FF64,UniRef90_B0JFJ2,UniRef90_I4FF59,UniRef90_I4FF65,UniRef90_I4FSP3,UniRef90_I4HIA5,UniRef90_I4F7F6,UniRef90_B0JNU6,UniRef90_I4FPX1,UniRef90_I4FSL8,UniRef90_I4I5I0,UniRef90_I4FPD6,UniRef90_I4GA20,UniRef90_F8G551,UniRef90_Q3RFD0,UniRef90_G7UN48,UniRef90_L8MZK0,UniRef90_L8N296,UniRef90_L8MWT9,UniRef90_V6A9D4,UniRef90_A2SFC3,UniRef90_B9XSV5
ko03010  Ribosome	UniRef90_Q6A6M5,UniRef90_Q6A6P2,UniRef90_Q6A9B3,UniRef90_A6GP38,UniRef90_A6GQ67,UniRef90_UPI0003B66B98,UniRef90_C6XLH2,UniRef90_C8RYF8,UniRef90_H0E8Q5,UniRef90_G9ZVB8,UniRef90_H5WRB9
ko00970  Aminoacyl-tRNA biosynthesis	UniRef90_Q6A5P0,UniRef90_Q6A964
ko00190  Oxidative phosphorylation	UniRef90_Q6A8C8,UniRef90_Q28T75
ko00471  D-Glutamine and D-glutamate metabolism	UniRef90_Q6A9Q4
ko03060  Protein export	UniRef90_D4HCU1,UniRef90_B1M332,UniRef90_L1QRU5,UniRef90_A2SE14
ko00030  Pentose phosphate pathway	UniRef90_A6GM59
ko04112  Cell cycle - Caulobacter	UniRef90_A6GN67
ko00230  Purine metabolism	UniRef90_K9W9K7,UniRef90_I0HX30
ko00195  Photosynthesis	UniRef90_K9SKV8
ko02010  ABC transporters	UniRef90_H0C357
ko03018  RNA degradation	UniRef90_E6WQY5,UniRef90_E7RVP1
ko00410  beta-Alanine metabolism	UniRef90_I4FF63
ko00450  Selenocompound metabolism	UniRef90_I4FF62
ko00020  Citrate cycle (TCA cycle)	UniRef90_UPI000318B188,UniRef90_U2YWU6
